sym,universe,interval,range,rule,bars,n,winrate,avg_ret,sum_ret,PF,maxDD,wf_flag,wf1_n,wf1_avg,wf1_PF,wf2_n,wf2_avg,wf2_PF,score,is_control
SPY,liquid,1d,1y,B_DONCHIAN_D,251,4,50.0,0.4303,1.7213,1.778,1.1458,SECOND_ONLY,1,-1.1458,0.0,3,0.9557,3.69,-999.0,0
SPY,liquid,1d,1y,HYBRID,251,4,25.0,0.0168,0.0674,1.025,2.7442,SECOND_ONLY,2,-0.4855,0.0,2,0.5192,1.586,-999.0,0
SPY,liquid,1h,3mo,L_RSI50,449,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
SPY,liquid,1h,3mo,L_EMA_RECLAIM,449,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
SPY,liquid,1h,3mo,L_VWAP_RECLAIM,449,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
SPY,liquid,1h,3mo,B_SUPERTREND,449,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
SPY,liquid,1h,3mo,HYBRID,449,0,0.0,0.0,0.0,0.0,0.0,NO_TRADES,0,0.0,0.0,0,0.0,0.0,-999.0,0
TSLA,liquid,1d,1y,L_RSI50,251,2,0.0,-4.8956,-9.7911,0.0,9.7911,WEAK_BOTH,1,-4.1503,0.0,1,-5.6408,0.0,-999.0,1
TSLA,liquid,1d,1y,L_EMA_RECLAIM,251,1,0.0,-5.6408,-5.6408,0.0,5.6408,WEAK_BOTH,0,0.0,0.0,1,-5.6408,0.0,-999.0,1
TSLA,liquid,1d,1y,L_VWAP_RECLAIM,251,1,0.0,-4.1462,-4.1462,0.0,4.1462,WEAK_BOTH,0,0.0,0.0,1,-4.1462,0.0,-999.0,1
TSLA,liquid,1d,1y,B_SUPERTREND,251,6,0.0,-4.3577,-26.146,0.0,26.146,WEAK_BOTH,3,-4.6737,0.0,3,-4.0416,0.0,-999.0,1
TSLA,liquid,1d,1y,B_DONCHIAN_D,251,8,25.0,-2.0456,-16.3648,0.365,16.3648,WEAK_BOTH,3,-0.5591,0.824,5,-2.9375,0.096,-999.0,1
TSLA,liquid,1d,1y,HYBRID,251,1,0.0,-5.6408,-5.6408,0.0,5.6408,WEAK_BOTH,0,0.0,0.0,1,-5.6408,0.0,-999.0,1
TSLA,liquid,1h,3mo,L_RSI50,449,6,66.67,1.0624,6.3742,5.692,1.3586,SECOND_ONLY,1,0.4478,99.0,5,1.1853,5.362,13.011,1
TSLA,liquid,1h,3mo,L_EMA_RECLAIM,449,4,50.0,0.6117,2.4467,2.014,1.2814,SECOND_ONLY,0,0.0,0.0,4,0.6117,2.014,-999.0,1
TSLA,liquid,1h,3mo,L_VWAP_RECLAIM,449,7,57.14,0.3378,2.3647,1.528,3.1942,FIRST_ONLY,3,1.472,99.0,4,-0.5128,0.542,1.366,1
TSLA,liquid,1h,3mo,B_SUPERTREND,449,14,35.71,0.3994,5.5916,1.516,5.3649,BOTH_HALVES,7,0.4329,1.514,7,0.3659,1.518,2.265,1
TSLA,liquid,1h,3mo,HYBRID,449,5,80.0,1.2903,6.4514,6.035,1.2814,SECOND_ONLY,1,0.4478,99.0,4,1.5009,5.685,14.426,1
